1|Golfo Ártabro|0||NA|no data|6
1|Golfo Ártabro|10|no data; Agrosistema intensivo (plantacion forestal); Termotemperado|NA|no data|3
1|Golfo Ártabro|11|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado inferior|NA|no data|1
1|Golfo Ártabro|12|no data; Agrosistema intensivo (plantacion forestal); Mesotemperado superior|NA|no data|1367
1|Golfo Ártabro|17|no data; Rururbano (diseminado); no data|NA|no data|7
1|Golfo Ártabro|18|no data; Rururbano (diseminado); Termotemperado|NA|no data|2
1|Golfo Ártabro|20|no data; Rururbano (diseminado); Mesotemperado superior|NA|no data|7
1|Golfo Ártabro|22|no data; Agrosistema intensivo (mosaico agroforestal); no data|NA|no data|1
1|Golfo Ártabro|23|no data; Agrosistema intensivo (mosaico agroforestal); Termotemperado|1|Value 1|8
1|Golfo Ártabro|24|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado inferior|NA|no data|6
1|Golfo Ártabro|25|no data; Agrosistema intensivo (mosaico agroforestal); Mesotemperado superior|NA|no data|2627
1|Golfo Ártabro|26|Litoral Cantabro-Atlantico; no data; no data|NA|no data|270
1|Golfo Ártabro|27|Litoral Cantabro-Atlantico; no data; Termotemperado|NA|no data|101
1|Golfo Ártabro|28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|1|Value 1|173
1|Golfo Ártabro|28|Litoral Cantabro-Atlantico; Matogueira e rochedo; no data|NA|no data|1894
1|Golfo Ártabro|29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|1|Value 1|1128
1|Golfo Ártabro|29|Litoral Cantabro-Atlantico; Matogueira e rochedo; Termotemperado|NA|no data|16818
1|Golfo Ártabro|30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|1|Value 1|158
1|Golfo Ártabro|30|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado inferior|NA|no data|7072
1|Golfo Ártabro|31|Litoral Cantabro-Atlantico; Matogueira e rochedo; Mesotemperado superior|NA|no data|23
1|Golfo Ártabro|34|Litoral Cantabro-Atlantico; Bosque; no data|NA|no data|47
1|Golfo Ártabro|35|Litoral Cantabro-Atlantico; Bosque; Termotemperado|1|Value 1|2299
